metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
13820,1,3,3,2,2,25.221,4.5,0,4,4,21,1,3,3000,203.2,20,1,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,6,33.829,8.37,0,4,4,21,1,3,3000,203.2,56,1,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,3,2,0,0,3.81,0,2,4,5,2,3,750,,26,1,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,3,3,3,2,11,401.722,20.06,0,3,2,0,1,3,1500,205.4,75,1,3,4,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,2,55.076,27.86,0,4,3,0,1,6,750,208.7,22,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,0,0,19.01,0,2,4,5,2,3,750,,27,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,3,36.721,14.92,0,3,2,0,1,3,7000,223.6,49,1,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,1,3,2,54.551,27.59,0,4,4,15,1,6,300,235.2,39,1,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,3,4,54.66,27.59,0,4,4,15,1,6,300,235.2,36,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,3,3,8,196.211,8.17,1,4,2,0,1,6,50,212.7,63,1,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,4,38.027,10.87,0,4,2,0,1,3,7000,205.4,65,1,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,1,9,32.038,2.94,0,3,2,0,2,3,7000,215.2,33,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
38060,1,3,1,1,3,42.367,5.38,0,4,3,0,97,4,7000,274,26,1,2,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
